rvs_code,hospital_id,price_low,price_high,as_of,mmc_code,source,confidence,price_basis
19240,2,"154,200","164,200","April 05, 2024",18170010,mmc-price-list,high,package
19240,2,"219,600","231,000","November 25, 2024",18170041,mmc-price-list,medium,package
22630,2,"259,800","259,800","April 05, 2024",18170038,mmc-price-list,high,package
27447,2,"268,000","334,000","December 13, 2024",18170028,mmc-price-list,high,package
27447,2,"428,000","536,000","December 13, 2024",18170045,mmc-price-list,high,package
29815,2,"153,880","177,880","April 05, 2024",18170007,mmc-price-list,low,package
29881,2,"144,060","156,060","April 05, 2024",18170024,mmc-price-list,high,package
29881,2,"124,060","134,060","April 05, 2024",18170034,mmc-price-list,high,package
29888,2,"197,000","208,000","October 27, 2025",18170027,mmc-price-list,high,package
29897,2,"160,080","177,080","April 05, 2024",18170026,mmc-price-list,medium,package
31255,2,"105,960","134,960","April 05, 2024",18170016,mmc-price-list,high,package
31622,2,"58,740","70,040","April 05, 2024",18170030,mmc-price-list,high,package
33533,2,"1,063,600","1,168,600","April 05, 2024",18170009,mmc-price-list,medium,package
33536,2,"1,065,200","1,170,200","April 05, 2024",18170008,mmc-price-list,medium,package
36821,2,"74,200","88,200","April 05, 2024",18170001,mmc-price-list,high,package
36830,2,"143,200","162,700","April 05, 2024",18170017,mmc-price-list,high,package
37700,2,"83,100","106,600","April 05, 2024",18170023,mmc-price-list,medium,package
42825,2,"83,600","97,600","April 05, 2024",18170035,mmc-price-list,high,package
46255,2,"63,280","68,280","April 05, 2024",18170005,mmc-price-list,high,package
46255,2,"84,280","90,080","April 05, 2024",18170025,mmc-price-list,high,package
46270,2,"62,280","67,280","April 05, 2024",18170006,mmc-price-list,medium,package
47120,2,"244,400","278,400","April 05, 2024",18170032,mmc-price-list,high,package
47562,2,"150,000","184,000","July 20, 2026",18170011,mmc-price-list,high,package
47562,2,"174,500","208,500","July 20, 2026",18170040,mmc-price-list,high,package
49000,2,"172,600","202,100","April 06, 2024",12010040,mmc-price-list,high,package
49505,2,"82,600","92,600","April 05, 2024",18170021,mmc-price-list,high,package
50590,2,"22,700","70,900","March 10, 2025",03010001,mmc-price-list,high,package
52000,2,"42,500","73,960","April 05, 2024",18170033,mmc-price-list,high,package
54152,2,"13,700","17,120","April 05, 2024",18170039,mmc-price-list,high,package
55530,2,"83,700","110,200","April 05, 2024",18170022,mmc-price-list,high,package
55700,2,"45,400","49,900","April 05, 2024",18170031,mmc-price-list,high,package
55866,2,"597,500","771,000","November 25, 2024",18170042,mmc-price-list,high,package
57452,2,"4,100","4,100","March 04, 2026",12010003,mmc-price-list,high,component
57460,2,"4,860","4,860","March 04, 2026",12010007,mmc-price-list,high,component
58120,2,"62,700","62,700","April 06, 2024",12010039,mmc-price-list,high,package
58150,2,"592,000","798,000","November 25, 2024",18170043,mmc-price-list,medium,package
58150,2,"201,000","226,000","April 06, 2024",12010043,mmc-price-list,high,package
58260,2,"40,590","40,590","September 20, 2025",12010018,mmc-price-list,medium,component
58300,2,"2,060","2,060","September 20, 2025",12010047,mmc-price-list,high,component
58545,2,"605,000","797,000","November 25, 2024",18170044,mmc-price-list,high,package
58555,2,"86,000","86,000","April 26, 2024",12010045,mmc-price-list,high,package
58555,2,"28,800","28,800","March 04, 2026",12010011,mmc-price-list,high,package
59409,2,"32,140","32,140","September 20, 2025",12010048,mmc-price-list,high,package
59409,2,"51,300","139,100","April 06, 2024",12010042,mmc-price-list,medium,package
59514,2,"67,500","193,400","April 06, 2024",12010038,mmc-price-list,high,package
59514,2,"45,940","45,940","September 20, 2025",12010046,mmc-price-list,high,package
60240,2,"157,500","189,400","December 13, 2024",18170019,mmc-price-list,high,package
63030,2,"216,300","216,300","April 05, 2024",18170037,mmc-price-list,high,package
69631,2,"89,500","140,500","August 07, 2026",18170046,mmc-price-list,high,package
69631,2,"101,500","152,500","August 07, 2026",18170047,mmc-price-list,high,package
69641,2,"175,120","189,120","April 05, 2024",18170012,mmc-price-list,high,package
