mmc_code,name,generic_name,mmc_type,price_low,price_high,as_of,search_category,matched_terms
04080041,OCT ANGIOGRAPHY ONE EYE / BOTH EYES,,,3650,7000,"March 02, 2026",radiologic,ANGIOGRAPHY
04080067,ULTRASOUND BIOMICROSCOPY ONE EYE / BOTH EYES,,,7800,11400,"March 02, 2026",radiologic,ULTRASOUND
18000003,PEDIA CP CLEARANCE BUNDLE WITH COVID TEST,,ANCILLARY SERVICES,7100,8900,"March 02, 2026",blood_test,BUN
18000001,PEDIATRIC CP CLEARANCE BUNDLE,,ANCILLARY SERVICES,3470,4400,"March 02, 2026",blood_test,BUN
04040001,ADDITIONAL MAMMOGRAM VIEWS,,BREAST CLINIC,2080,2600,"March 09, 2026",radiologic,MAMMOGRAM
04040002,BIOPSY CLIP PLACEMENT,,BREAST CLINIC,19900,24900,"March 09, 2026",procedure,BIOPSY
04040003,BREAST ULTRASOUND/ELASTOGRAPHY,,BREAST CLINIC,4150,5400,"March 09, 2026",radiologic,ULTRASOUND
04040013,CONTRAST ENHANCED MAMMOGRAPHY,,BREAST CLINIC,17900,22400,"March 09, 2026",radiologic,MAMMOGRAPHY;CONTRAST
04040005,MAMMOGRAM GUIDED WIRE LOCALIZATION,,BREAST CLINIC,10500,37500,"March 09, 2026",radiologic,MAMMOGRAM
04050001,MAMMOGRAM WITH BREAST ULTRASOUND PACKAGE,,BREAST CLINIC,8300,10400,"March 09, 2026",radiologic,ULTRASOUND;MAMMOGRAM;PACKAGE
04040006,MAMMOGRAPHY 3D,,BREAST CLINIC,5010,6300,"March 09, 2026",radiologic,MAMMOGRAPHY
04040009,SONO GUIDED CORE BIOPSY,,BREAST CLINIC,11100,40500,"March 09, 2026",procedure,BIOPSY
04040010,SONO GUIDED CYST ASPIRATION BIOPSY,,BREAST CLINIC,5450,11800,"March 09, 2026",procedure,BIOPSY
04040011,SONO GUIDED FINE NEEDLE ASPIRATION BIOPSY,,BREAST CLINIC,5750,12900,"March 09, 2026",procedure,BIOPSY
04040012,STEREOTACTIC CORE BIOPSY,,BREAST CLINIC,12100,44700,"March 09, 2026",procedure,BIOPSY
04050005,BONE MARROW BIOPSY,,CANCER CENTER,3000,3800,"March 09, 2026",procedure,BIOPSY
04050022,BREAST PACKAGE METASTATIC WORK UP W/ CT PACKAGE,,CANCER CENTER,61000,76300,"March 09, 2026",blood_test,PACKAGE
04050023,BREAST PACKAGE SURVEILLANCE WORK UP W/ CT PACKAGE,,CANCER CENTER,45700,57200,"March 09, 2026",blood_test,PACKAGE
04050028,COLON W/ CT PACKAGE,,CANCER CENTER,49300,61700,"March 09, 2026",blood_test,PACKAGE
04400065,FOUNDATION ONE PACKAGE,,CANCER CENTER,158000,223000,"June 15, 2026",blood_test,PACKAGE
04400064,GUARDANT PACKAGE,,CANCER CENTER,134000,196000,"October 13, 2025",blood_test,PACKAGE
04050043,LUNG PACKAGE B,,CANCER CENTER,29400,36800,"March 09, 2026",blood_test,PACKAGE
04050029,LUNG/CHEST W/ CT PACKAGE,,CANCER CENTER,44600,55800,"March 09, 2026",blood_test,PACKAGE
04050030,LYMPHOMA PACKAGE,,CANCER CENTER,84700,105900,"March 09, 2026",blood_test,PACKAGE
04050044,ONCO-DX BONE PANEL,,CANCER CENTER,16800,21000,"March 09, 2026",blood_test,PANEL
04050045,ONCO-DX CHEM PANEL,,CANCER CENTER,9000,11300,"March 09, 2026",blood_test,PANEL
04050046,ONCO-DX LIVER PANEL,,CANCER CENTER,2630,3300,"March 09, 2026",blood_test,PANEL
