mmc_code,mmc_name,price_low,price_high,proposed_rvs,proposed_procedure,case_rate,confidence,why,alternatives
12010026,ADDITIONAL USE OF DELIVERY ROOM 3OMINS,2210,2210,ANC02,ANTENATAL CARE SERVICES WITH INTRAPARTUM MONITORING OR LABOR WATCH (WITHOUT DELIVERY),4192.50,REVIEW,,"77401=P5,850 | 77418=P11,076 | MCP01=P12,675"
12010001,CAPILLARY BLOOD GLUCOSE - DR,405,510,36430,OUTPATIENT TRANSFUSION OF BLOOD OR BLOOD PRODUCTS; ONE OR MORE UNITS,7098.00,REVIEW,,"36450=P11,076 | 65930=P15,639 | 93660=P18,915"
12010037,CESAREAN SECTION BABY PACKAGE,17500,29600,59403,UNDELIVERED CASES (BABY DELIVERED IN REFERRAL FACILITY) IN NON-HOSPITAL FACILITIES,1267.50,REVIEW,,"88331=P11,076 | 88332=P18,915 | 69915=P104,130"
12010038,CESAREAN SECTION MOTHER PACKAGE,67500,193400,88331,"PATHOLOGY CONSULTATION DURING SURGERY; WITH FROZEN SECTION(S), SINGLE BLOCK",11076.00,REVIEW,,"88332=P18,915 | 69915=P104,130 | 69950=P107,250"
12010046,CESAREAN SECTION PROCEDURE,45940,45940,88331,"PATHOLOGY CONSULTATION DURING SURGERY; WITH FROZEN SECTION(S), SINGLE BLOCK",11076.00,REVIEW,,"88332=P18,915 | 69915=P104,130 | 69950=P107,250"
12010045,DIAGNOSTIC HYSTEROSCOPY PACKAGE OUTPATIENT,86000,86000,58555,"HYSTEROSCOPY, DIAGNOSTIC",18915.00,REVIEW,root match: HYSTEROSCOPY,"58562=P25,155 | 58559=P35,100 | 58561=P45,435"
12010039,DILATATION AND CURETTAGE PACKAGE,62700,62700,46940,"CURETTAGE OR CAUTERIZATION OF ANAL FISSURE, INCLUDING DILATION OF ANAL SPHINCTER",18915.00,REVIEW,,"57520=P18,915 | 25130=P19,406 | 58120=P21,450"
12010004,DR AMBULATORY-GYNE BIOPSY,3000,3000,20206,"BIOPSY, MUSCLE, PERCUTANEOUS NEEDLE",6832.80,high (rates identical),,"21920=P6,833 | 23065=P6,833 | 24065=P6,833"
12010013,DR LAPAROSCOPY (KITTING),82100,82100,49320,"LAPAROSCOPY, ABDOMEN, PERITONEUM, AND OMENTUM, DIAGNOSTIC, WITH OR WITHOUT COLLECTION OF SPECIMEN(S) BY BRUSHING OR WASHING",11076.00,REVIEW,approach agrees (lap),"49323=P16,107 | 49321=P18,915 | 50542=P18,915"
12010044,DR LAPAROSCOPY PACKAGE,273500,292000,49320,"LAPAROSCOPY, ABDOMEN, PERITONEUM, AND OMENTUM, DIAGNOSTIC, WITH OR WITHOUT COLLECTION OF SPECIMEN(S) BY BRUSHING OR WASHING",11076.00,REVIEW,approach agrees (lap),"49323=P16,107 | 49321=P18,915 | 50542=P18,915"
