sample_id,template_id,media_class,difficulty,n_checked,checked_codes,checked_labels_as_printed,cancelled_codes,variants,modifiers,is_blank,is_not_lab_request,stress_case,n_ambiguous_marks,primary_mark_style,order_profile,image
0000000,tpl_01_onecol_sans,clean,easy,7,CPK_TOTAL;CT_CHEST;ECG_12L;ECHO_2D;LDH;TROPONIN_I;XR_CHEST_PA_L,CPK Total;Chest CT;12-lead ECG;2D Echo;LDH;Troponin-I;Chest PA/L,,,CT_CHEST=iv_contrast,false,false,,0,tick_in_box,cardiac_chest_pain,media/0000000_clean.png
0000001,tpl_01_onecol_sans,clean,easy,5,CBC_PLT;FBS;FECALYSIS;URINALYSIS;XR_CHEST_PA_L,CBC w/ Platelet Count;Fasting Blood Glucose;Stool Examination;Urinalysis;Chest PA / L,,,,false,false,,0,tick_overflowing,annual_physical,media/0000001_clean.png
0000002,tpl_01_onecol_sans,clean,easy,7,CBC_PLT;FBS;FECALYSIS;LIPID_PROFILE;LIVER_PROFILE;URINALYSIS;XR_CHEST_PA_L,CBC w/ PLT CT;FBS;Fecalysis;Lipid Profile;Liver Profile;Urinalysis;Chest PA and lateral,,,,false,false,,0,circle_around_box,annual_physical,media/0000002_clean.png
0000003,tpl_01_onecol_sans,clean,easy,4,CREATININE;FBS;HBA1C;URINALYSIS,Creatinine;FBS;HbA1c;Urinalysis,,,,false,false,,0,tick_overflowing,diabetes_monitoring,media/0000003_clean.png
0000004,tpl_01_onecol_sans,clean,easy,3,HBSAG_SCREENING;LIVER_PROFILE;US_HBT,HBsAg Qualitative;Liver Profile;HBT (Liver),,,,false,false,,1,cross,liver_evaluation,media/0000004_clean.png
0000005,tpl_01_onecol_sans,clean,easy,12,BUN;CBC_PLT;CREATININE;ECG_12L;ELECTROLYTES;FBS;FECALYSIS;FT4;HBA1C;LIPID_PROFILE;TSH;XR_CHEST_PA_L,"Blood Urea Nitrogen;CBC with Platelet Count;Creatinine;ECG;Serum Electrolytes (Na, K, Cl);FBS (Fasting Blood Sugar);Fecalysis;FT4;HbA1c;Lipid Profile;TSH;Chest PA / L",,,,false,false,,0,tick_in_box,broad,media/0000005_clean.png
0000006,tpl_01_onecol_sans,clean,easy,9,BUN;CBC_PLT;CREATININE;ECG_12L;ELECTROLYTES;PTT;PT_PROTHROMBIN;URINALYSIS;XR_CHEST_PA_L,"BUN;CBC w/ Platelet Count;Creatinine;12-lead ECG;Serum Electrolytes (Na, K, Cl);PTT (Partial Thromboplastin);PT (Prothrombin Time);Urinalysis;Chest PA / L",,,,false,false,,0,cross,preoperative_clearance,media/0000006_clean.png
0000007,tpl_01_onecol_sans,clean,easy,7,BLOOD_TYPING_RH;CBC_PLT;HBSAG_SCREENING;OGTT;PREGNANCY_TEST;URINALYSIS;VDRL_RPR,Blood Typing/Rh;CBC with Platelet Count;HBsAg Screening;OGTT;Pregnancy Test;Urinalysis;VDRL / RPR,,,,false,false,,0,cross,prenatal,media/0000007_clean.png
0000008,tpl_01_onecol_sans,clean,easy,5,BUN;CREATININE;ELECTROLYTES;URIC_ACID;URINALYSIS,"BUN;Creat;Serum Electrolytes (Na, K, Cl);BUA;Urinalysis",CA_SERUM,,,false,false,,2,filled_scribble,renal_panel,media/0000008_clean.png
0000009,tpl_01_onecol_sans,clean,easy,15,CBC_PLT;CREATININE;ECG_12L;ELECTROLYTES;FBS;FT4;HBA1C;HBSAG_SCREENING;LIPID_PROFILE;LIVER_PROFILE;TSH;URIC_ACID;URINALYSIS;VDRL_RPR;XR_CHEST_PA_L,"CBC w/ Platelet Count;Creatinine;12 Lead ECG;Serum Electrolytes (Na, K, Cl);FBS (Fasting Blood Sugar);FT4;HbA1c;HBsAg Screening;Lipid Profile;Liver Profile;TSH;BUA;Urinalysis;VDRL / RPR;Chest PA and lateral",,,,false,false,,0,cross,broad,media/0000009_clean.png
0000010,tpl_01_onecol_sans,scan,easy,7,CPK_TOTAL;CT_CHEST;ECG_12L;ECHO_2D;LDH;TROPONIN_I;XR_CHEST_PA_L,Total CPK;Chest CT;Electrocardiogram;2D Echocardiogram;LD;Troponin-I;Chest PA and lateral,,,CT_CHEST=triple_contrast,false,false,,1,tick_overflowing,cardiac_chest_pain,media/0000010_scan.png
0000011,tpl_01_onecol_sans,scan,easy,3,FT3;TSH;US_THYROID,FT3;TSH;Thyroid,,,,false,false,,0,tick_in_box,thyroid_workup,media/0000011_scan.png
